Nom du produit,Marque,RAM,Capacité (mémoire),Couleur(s),Référence,Modèle de téléphone,Prix,Site web,Catégorie
"DOOGEE N55 Pro Smartphone - 6.56"" - 256 Go - Android 14 - 5150mAh - Double Sim 4G - GPS - Bleu",DOOGEE,6Go RAM + jusqu'à 10Go d'extension,256 Go,Bleu,,N55 Pro,"109,99",cdiscount.com,SMARTPHONE
"DOOGEE N55 Pro Smartphone - 6.56"" - 256 Go - Android 14 - 5150mAh - Double SIM 4G - GPS - Noir",DOOGEE,6Go RAM + jusqu'à 10Go d'extension,256 Go,Noir,,N55 Pro,"108,99",cdiscount.com,SMARTPHONE
APPLE iPhone 13 128 Go Midnight (2021) - Reconditionné - Excellent état,APPLE,,128 Go,Noir,MLPF3F/A,,"347,5",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
XIAOMI - REDMI 13C - 128Go - Noir minuit,XIAOMI,LPDDR4X extensible jusqu’à 16 Go,128Go,Noir minuit,REDMI13C4128N,Redmi 13C,"89,88",cdiscount.com,SMARTPHONE
HUAWEI P30 Lite 128 Go Noir,HUAWEI,4 Go,128 Go,Noir,51095RHL,,"77,98",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
XIAOMI REDMI NOTE 10 5G 128 Go Gris,XIAOMI,4 Go - LPDDR4X SDRAM,128 Go,Gris,REDMINOTE105G128 G,,"95,99",cdiscount.com,SMARTPHONE
XIAOMI Redmi 13C 256Go Bleu,XIAOMI,LPDDR4X extensible jusqu’à 16 Go1,256 Go,Bleu marine,REDMI13C8256B,REDMI 13C,"109,98",cdiscount.com,SMARTPHONE
"Smartphone Xiaomi Redmi Note 13 Pro 5G 8Go 256 Go Noir Batterie 5100 mAh NFC Écran AMOLED 6.67""",XIAOMI,"RAM LPDDR5, Stockage UFS 3.1",8Go + 256Go,Noir,RN13PRO5G8256N,Redmi Note 13 Pro,249,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Redmi Note 13 Pro 5G Bleu 12 GO + 512 GO,,,12Go + 512Go,Bleu,,Redmi Note 13 Pro,"298,95",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A10 Noir,SAMSUNG,2 Go,32 Go,Noir,SM-A105FZKYXEF,Galaxy A10,87,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
HONOR X6b 4Go+128Go Smartphone  4G - Vert,HONOR,4go,128Go,Vert,,HONOR X6b,"99,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S20FE 128Go 5G Bleu,SAMSUNG,6 Go - LPDDR5 SDRAM,128 Go,Bleu,G781 B,,168,cdiscount.com,SMARTPHONE
Xiaomi Redmi 14C Bleu (8 Go / 256 Go) - Smartphone 4G-LTE Dual SIM - Helio G81-Ultra 8-Core 2.0 GHz - RAM 8 Go - Ecran tactile 6.88',XIAOMI,,,,,,"128,97",cdiscount.com,SMARTPHONE
HUAWEI P Smart 2019 64 Go Noir,HUAWEI,3 Go,64 Go,Noir,51093GND,,"74,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
GOOGLE Pixel 7 - 128 Go - Noir,GOOGLE,8 Go de RAM LPDDR5,128 Go,Noir,GA03923-GB,Google Pixel 7,"249,95",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Samsung Galaxy S24 FE Smartphone 256 Go Bleu,SAMSUNG,8 Go,256 Go,Bleu,SM-S721BLBGEUB,S24FE,"711,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy Z Flip4 128Go 5G Or Rose,SAMSUNG,8 Go,128 Go,Or Rose,SM-F721BZDGEUB,Galaxy Z Flip4,"329,99",cdiscount.com,SMARTPHONE
Realme 12 Pro 5G 12 Go/256 Go Bleu (Submarine Blue) Double SIM,,,,,,,"299,49",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A23 5G 128Go Noir,SAMSUNG,4 Go,128 Go,Noir,,,199,cdiscount.com,SMARTPHONE
"Smartphone Pas Cher OUKITEL C57PRO 6.52"" 16(4+12)Go+128Go 4300mAh Android 14 13MP+5MP 4G Téléphone portable Double SIM GPS-Bleu",OUKITEL,4 Go + 12 Go d‘extension,4 Go + 128 Go,Bleu,,OUKITEL C57 PRO,"85,99",cdiscount.com,SMARTPHONE
"OUKITEL C53 6.6"" 8(4+4)Go + 64Go 4300mAh Téléphone portable Pas Cher Android 14 13MP+5MP Smartphone 4G Double Sim GPS - Violet",OUKITEL,4 Go + 4 Go d‘extension,8Go + 64Go,Violet,,OUKITEL C53,"74,99",cdiscount.com,SMARTPHONE
"Smartphone 4G - Marque - Modèle - 6.3"" Plein HD - 64Go - Débloqué - Android 10.0",TEENO,4 Go,,,,,"65,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"Redmi Note 13 Pro 5G Noir 12Go +512Go écran AMOLED 6,67""",,,12Go + 512Go,Noir,,Redmi Note 13 Pro,"297,95",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S21 128Go Gris,SAMSUNG,8 Go - LPDDR5 SDRAM,128 Go,Gris,G991128 G,Samsung Galaxy S21,200,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Smartphone HUAWEI P20 Lite 64 Go Rose - Double SIM - Lecteur d'empreintes digitales,HUAWEI,4 Go,64 Go,Rose,51092FTQ,,"234,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S21 Plus 128Go Noir.,SAMSUNG,8 Go - LPDDR5 SDRAM,128 Go,Noir,G996128 N,,"207,19",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
GOOGLE Pixel 7 - 128 Go - Noir,GOOGLE,8 Go de RAM LPDDR5,128 Go,Noir,GA03923-GB,Google Pixel 7,"247,19",cdiscount.com,SMARTPHONE
"15 Pro Max Smartphone 6.23"" FHD 4Go + 128Go 3400mAh Double SIM 4G - Noir",,4 Go,128 Go,Noir,,15 Pro Max,"74,99",cdiscount.com,SMARTPHONE
XIAOMI Redmi 14C 8Go+256 Go Smartphone 4G  adaptateur inclus Violet,XIAOMI,,,,,,"128,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Smartphone Xiaomi Redmi Note 13 Pro 256Go Bleu 5G,XIAOMI,"RAM LPDDR5, Stockage UFS 3.1",8Go + 256Go,Bleu,RN13PRO5G8256B,Redmi 13 Pro 5G,249,cdiscount.com,SMARTPHONE
HUAWEI P30 Lite 128 Go Blanc,HUAWEI,4 Go,,Blanc,51093NNQ,,"82,87",cdiscount.com,SMARTPHONE
"Smartphone 4G Pro - 5.3"" Plein HD - Débloqué - Androide 10.0 - smartphone pas cher",TEENO,,,,,,"59,99",cdiscount.com,SMARTPHONE
"DOOGEE N55 Pro Smartphone - 6.56"" - 256 Go - Android 14 - 5150mAh - Double Sim 4G - GPS - Bleu",DOOGEE,6Go RAM + jusqu'à 10Go d'extension,256 Go,Bleu,,N55 Pro,"109,99",cdiscount.com,SMARTPHONE
"Smartphone Xiaomi Redmi Note 13 Pro 5G 8Go 256 Go Noir Batterie 5100 mAh NFC Écran AMOLED 6.67""",XIAOMI,"RAM LPDDR5, Stockage UFS 3.1",8Go + 256Go,Noir,RN13PRO5G8256N,Redmi Note 13 Pro,249,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy Z Flip3 128Go Vert,SAMSUNG,8 Go,128 Go,Vert,F711128 V,Samsung Galaxy Z Flip3,"264,98",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
HUAWEI P30 Lite 128 Go Noir,HUAWEI,4 Go,128 Go,Noir,51095RHL,,"99,99",cdiscount.com,SMARTPHONE
Smartphone Portable - OUKITEL C25 4G - Android 11 - 4Go+32Go 5000mAh - Écran HD+ 6.5 Caméra 13MP Vert,OUKITEL,,32Go,,,,"69,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A10 Rouge,SAMSUNG,2 Go,32 Go,Rouge,SM-A105FZRUXEF,,82,cdiscount.com,SMARTPHONE
XIAOMI Redmi 13C 256Go Vert,XIAOMI,LPDDR4X extensible jusqu’à 16 Go1,256 Go,Vert trèfle,REDMI13C8256V,REDMI 13C,"111,99",cdiscount.com,SMARTPHONE
Smartphone Xiaomi Redmi Note 13 Pro 256Go Bleu 5G,XIAOMI,"RAM LPDDR5, Stockage UFS 3.1",8Go + 256Go,Bleu,RN13PRO5G8256B,Redmi 13 Pro 5G,249,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A15 Smartphone 128Go Bleu nuit,SAMSUNG,4 Go,128 Go,Bleu nuit,SM-A155FZKDEUB,A15,"159,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy Z Flip4 128Go 5G Bleu,SAMSUNG,8 Go,128 Go,Bleu,SM-F721BLBGEUB,Samsung Galaxy Z Flip4 5G,298,cdiscount.com,SMARTPHONE
Smartphone Xiaomi Redmi Note 13 Pro 256Go Violet 5G,XIAOMI,"RAM LPDDR5, Stockage UFS 3.1
RAM extensible jusqu’à 16Go",8Go + 256Go,Violet,RN13PRO5G8256P,Redmi 13 Pro 5G,"249,99",cdiscount.com,SMARTPHONE
APPLE iPhone 13 128 Go Midnight (2021) - Reconditionné - Excellent état,APPLE,,128 Go,Noir,MLPF3F/A,,"335,18",cdiscount.com,SMARTPHONE
"BLACKVIEW A52 Pro Smartphone 6.5"" 8Go RAM + 128Go ROM 5180mAh 13MP Caméra Téléphone portable 4G Double Sim Android 13 GPS - Bleu",BLACKVIEW,4Go RAM + jusqu’à 4Go d’extension,8Go (4Go + 4Go) + 128Go,Bleu,,A52 Pro,"86,99",cdiscount.com,SMARTPHONE
HUAWEI P30 Lite 128GO Bleu - Reconditionné - Etat correct,HUAWEI,,128 Go,Bleu,51095RHQ,,"80,89",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Smartphone Robuste 5G DOOGEE V40 6.78 pouces FHD+ Android 14 - 32Go+512Go Caméra 108MP 8680mAh Téléphone IP68 NFC-Face ID - Argent,DOOGEE,32Go (12Go + jusqu'à 20go RAM étendue),32 Go (12 Go + jusqu'à 20 Go de RAM étendue) + 512 Go de ROM,Argent,,V40,"359,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"Smartphone Pas Cher - OUKITEL C57S - 64Go - 4300mAh - 6.52""HD - Android 14 - 13MP+5MP - GPS - OTG - Face ID - Noir",OUKITEL,,8(2+6)Go RAM + 64Go ROM,Noir,,OUKITEL C57S,"72,99",cdiscount.com,SMARTPHONE
"OUKITEL WP32 Pro Smartphone Robuste 24Go (6+18) RAM/ 256Go ROM, 6.0"" HD+ 6300mAh 20MP Android 14 Téléphone GPS Dual SIM 4G - Gris",OUKITEL,6 Go + 18 Go d'extension,24Go (6+18) RAM/ 256Go ROM,Gris,,,"139,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Xiaomi Redmi Note 13 Pro 5G 8 Go/128 Go Bleu (Ocean Teal) Double SIM,XIAOMI,,8Go + 128Go,Bleu,,,"228,9",cdiscount.com,SMARTPHONE
Smartphone - HUAWEI - P30 Pro - 256 Go - Double SIM - Android 9.0 Pie,HUAWEI,8 Go,256 Go,Noir,51093QFS,,"198,49",cdiscount.com,SMARTPHONE
SAMSUNG GALAXY S22 Plus 256Go Noir,SAMSUNG,8Go LPDDR5,256 Go,Noir,S906B256N,,"339,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
HONOR 200 Lite 5G 8Go 256Go Noir Téléphone MediaTek Dimensity 6080 6.7” AMOLED 90Hz Caméra principale 108MP 4500 mAh Smartphone,HONOR,,256 Go,,,,209,cdiscount.com,SMARTPHONE
HUAWEI P30 Pro 128 Go Nacré,HUAWEI,8 Go,128 Go,Nacré,51095RJL,,"150,86",cdiscount.com,SMARTPHONE
Smartphone Google Pixel 8 128Go Noir Volcanique 5G,GOOGLE,,128 Go,Noir,,,"376,94",cdiscount.com,SMARTPHONE
XIAOMI 12 256Go 5G Gris,XIAOMI,,256 Go,Gris,XIAOMI128256G,XIAOMI 12,"287,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S9+   64 Go Ultra-violet,SAMSUNG,6 Go - LPDDR4 SDRAM,,,SM-G965FZPDXEF,,"159,15",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A34 5G Graphite 128 Go,SAMSUNG,6 Go,128 Go,Noir,SM-A346BZKAEUB,A34 5G,"216,9",cdiscount.com,SMARTPHONE
"POCO X7 5G 12GB RAM 512GB ROM AMOLED 6,67"" Dimensity 7300-Ultra 50 MP Caméra 5110 mAh Vert",XIAOMI,,,,,,299,cdiscount.com,SMARTPHONE
Smartphone - REDMAGIC - 10 Pro - 12 Go RAM - 256 Go ROM - Snapdragon 8 Elite - 5G,,,,,NX789J,,689,cdiscount.com,SMARTPHONE
HOTWAV Cyber 13 Pro Smartphone Robuste 20Go+256Go 10800mAh Caméra 64MP 6.6'' FHD+ 4G Télécommande Infrarouge NFC/Face ID - Orange,HOTWAV,20Go (12Go + jusqu'à 8Go d'extension),Neuf,Orange,,HOTWAV Cyber 13 Pro,"169,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"DOOGEE S200 telephone portable 5G Caméra 100MP Murphy, Smartphone Robuste D7050 Android 14 12Go + 256Go 6,8"" FHD 10100mAh/33W -",DOOGEE,32Go (12Go + jusqu'à 20go RAM étendue),32 Go (12 Go + jusqu'à 20 Go de RAM étendue) + 256 Go de ROM,,,S200,"309,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy Z Flip5 512Go Graphite,SAMSUNG,RAM : 8Go LPDDR5X,512 Go,Graphite,SM-F731BZAHEUB,Z Flip5,"561,87",cdiscount.com,SMARTPHONE
Samsung Galaxy A15 5G Smartphone 128 Go Bleu nuit,SAMSUNG,4 Go,128 Go,Bleu nuit,SM-A156BZKDEUB,Samsung Galaxy A15 5G,"153,81",cdiscount.com,SMARTPHONE
